address,final_score,tier
0xd6000a815572e5cbbe2c743bb6b716aa3763b66e,1.0,A
0xe8f4cc51026d804cc9f8d3b271c51e7f9b104960,0.9,A
0x513623b497b7d2814220ec2aefb0ecb0a18f2f3d,0.9,A
0x38e59b36aae31b164200d0cad7c3fe5e0ee795e7,0.8908,A
0xcc883662eb678f31e12b57d8004765f20d0406dc,0.8472,A
0x41be79e4f1d704d52b8b0ec7ec5b456c91b2d38b,0.8253,A
0xbf8ee32e4b629992399e5af45a9d479e4d650126,0.8,A
0xec841ba14a2bb0e68e6a8959c4ab7a854e00983f,0.8,A
0x771226281832edf0dc0ae9f9fe59d6b85a903631,0.8,A
0x01224a786cd703cc9d01f70f2083b4abf411621d,0.8,A
0xc2b52ad653673802993f20fb09f28c5f200838a5,0.8,A
0xce3f3024fdc295b90b860e43920b57dcbae44a79,0.8,A
0x2d4c2af878f3615bf94f39d7183ac47174d23bdd,0.8,A
0xa15c8f77397c5511fc0ad6c64e2f212c9cb74785,0.8,A
0xead152b855effa6b5b5837f53b24c0756830c76a,0.718,A
0xd4253cf046d1e7080c2bab443737710d55a9c0e4,0.71,A
0x0130afd6f3efddf1c3e16e01217b172dd9befb49,0.71,A
0xe9010cf300384ce6b86ed9cd9436d515d3593139,0.71,A
0x20d2309cd92b797ae7ca175ed828ed8a27fbe29d,0.6437,B
0x55d7388e15df9f90b79e9e491c38a14b5f05226f,0.616,B
0xe2eecf6cbe4b116bc3cb37317462a6e7318fe511,0.6136,B
0x65d9cd920783a6b759e05a3f4af5b0e197dd97d4,0.61,B
0x1409bf83e510290fb039901bd05bf0ac04c8b36c,0.61,B
0x1f54ab25728772de41e100f277c3a5bc8a97edd3,0.61,B
0xa5e8654516d43ff1275d24bed9bacf3493473f48,0.61,B
0x864871201ab4048a990bb2e5281ef04fed27ca84,0.61,B
0x238e652e2a6e09eb8a343770e533575688c3a9bc,0.61,B
0x55c5e9d2bbcb14b8588e8ceda9a36258f885d83b,0.61,B
0xfd0c3406742b53bef1d747848824f6f9f199fd94,0.61,B
0xbeb96995c45ba6c2ff0b6bcb9a300d8ef38f752e,0.61,B
0x342701882826032c489a66f4043b9323237e0e1b,0.5928,B
0x6ce9001ed66308c47c1256115b2e97921d49e3e2,0.5604,B
0x965c9dd0a64a70a4d85985d5ea49fbac3e8aec2b,0.552,B
0x1530f488f7163100f5ef523a89d33f3be3957809,0.5427,B
0x879752bca887bc247ba883a52bc45e9c6be6bbbe,0.542,B
0x153fd6dbce3bc766746d7e2ffb8e826014e7cb70,0.5336,B
0xf06a61b17336c58f3e0019c35f8bf9e752e89d2e,0.5293,B
0xe7387473b067235436884d16799777cf279edf65,0.5265,B
0xc89d5c0f4d12aa83475b2b7804995578c46d9dc0,0.519,B
0x5ba9f48ca7147ef91a592f45d5f869720b044fa1,0.5149,B
0x61f6c7a094c893349d51ba04382d03829e1bed9e,0.5114,B
0x8db225675379e15da6d962036e405c3c9e47f8a2,0.51,B
0xa96615a858dc4a9bd82ec71fb07478e2b1f1747c,0.51,B
0xa38e2f5fb8d62ccd27c29f7ee50418f8091e7fbb,0.51,B
0x903731581464802d9b94916b0271784142d40386,0.51,B
0x597638d105dfc299dd34f40655c4922982d8ae05,0.51,B
0x64f8ead26be73d6676a90b939251fb8a64f2d21a,0.51,B
0x6bb5f2b0fbe2430328ee7b21369f9c0aa7bca518,0.51,B
0x8129c3ed844a83a17e9aaf656cfa9c93b4215f30,0.51,B
0xddb0629096a8a03f490b6572c06f2ee76465f95a,0.51,B
0xfb0f17657c9c24293b918adb86362a4d8fc90b02,0.51,B
0x17bcc82efe6adf80c93f83ff813161d0786c9013,0.51,B
0x9629804e001a60ebe8a289a334ccf2e5553aee15,0.51,B
0x16c6649aa7c5cfe3fd29a26b3c4642330e94c9b8,0.51,B
0x843a3162b7b416462ac15cf085a2402e5ae62017,0.51,B
0x79b2a0999b22f3c72a17274b4c5efe92370fbb2d,0.51,B
0xdfeaa8600c8a0263adb97e2b9a0b4a740ce9d295,0.51,B
0x1ba47bad36b90fc114bfe3034e9220dae4506de0,0.51,B
0xe2fb8332f2efd0dc430b2bb2e38c5af3a13c423d,0.51,B
0x33a2b72d06a3fe0712d9ffc760a3a32d15b49be1,0.51,B
0x9819e3e2e1992cb0d6cc1742df4f4d81af314951,0.51,B
0x8718e0fff870ffda56047cf4e66bd219f574a072,0.51,B
0xb6d2d81518cda8f9025697f942b2533ad4efd67b,0.51,B
0x540012a4dde55e2a100ac5ecf45fe7ca85fe33d3,0.51,B
0x3cd8ed6654c3b31ada47aaa246a66a5393569f23,0.51,B
0x4e1694d7ebaa4d7ed61a9467292eb97287cb1bf1,0.51,B
0xff77e4e9eecb887b687ddd0bfee053c6df131be5,0.51,B
0x10251c6856809ee1f4412ebf176b22160b288f88,0.51,B
0x6c3e502d9ac3674c48fbdf0266d6a1c4c9a98b7c,0.51,B
0x44192257fbc94a7958b693ee12d399bbea524ec0,0.51,B
0x5724104527eea45cfe044d834b52b16d5e5756ec,0.51,B
0x915129114d8bea556594e281af9e1b817d8448c4,0.51,B
0xad118e7b06daed1ee35aa61b70f82b1fa03d52f4,0.51,B
0x73ae49814fc961a3a108f35f9e2389347ff703ad,0.51,B
0xce9d204439cfcc2affaf0ce4de449e5750c23c05,0.51,B
0xeb6654ad315dc7dbc22a7b63e635a2ffbddc577b,0.51,B
0x0cb8b3a74a6552e79527cd89edb14d00f77639e6,0.51,B
0x1fc82e096da1f53ee32ed407c264fb76ae2305cf,0.51,B
0x01ac8a81cfb1b42ea20d8c97b1a6bbef3b4bc9d9,0.51,B
0xc52a00057ffaca7ff902898c77db86745d78e37a,0.51,B
0x481d8f709143da7942abe3a3705fd6f1035b0b42,0.51,B
0x36d8cbf698826ca74d9e444df634e303de4cc7c7,0.51,B
0x95fa958a86d9089ccf424d60a38a6b3aff40c639,0.51,B
0x83974248a51a8b639888479d4db18ff2a9c47e78,0.51,B
0x6b23c73159b753c96d3c1ed94413f113300c04a3,0.51,B
0x5da6cd2742d232d8bb71d3f8e3eadc0fd567370d,0.51,B
0x010f74119437d18ff1828aa5ed10cd23cc8d31cf,0.51,B
0x548254ca3e01e6c33498be4ed54ae03cd45023cd,0.51,B
0x72e2bc5836d4d272a77f538118db26226312750e,0.51,B
0xc6f5b38e2ecfdfaf93b2fa56803d294136f8f34c,0.51,B
0xf80a116fc8f1611c9b7ee740590502d47fc8af3b,0.51,B
0x881e72710f634afab58732621e001044224470f8,0.4831,B
0xe56dae38b25c0561d556dce061902c2bff87361a,0.433,B
0x26e2e2998ac09380a6ec9108aec6165594e1aed7,0.4253,B
0x575ae553f1b414ea991a8b9664fd0d754f041ca2,0.4233,B
0xec3183167606b2c19bb913ba22ef7fa7b4ce66ab,0.3912,C
0x77256355ed827e5600a22bbc6a0f7410cc395a7c,0.3472,C
0x8a5486fb0731d4d8a08d4078da5dc61b14f52365,0.3421,C
0xc4c2ea698d104ca72a73aa27d2238c97593e1007,0.3384,C
0x39e3b83aab254e3f477beddc5366c3a933bd24d1,0.3263,C
