address,final_score,tier,sub_scores,penalties
0x03c523d5642e43f153715b65606efdc1836f14b8,1.0,A,"{'consistency': 1.0, 'realized_quality': 1.0, 'recency': 1.0, 'category_strength': 1.0, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0x998029a4654c83c9a8b00253309bbdbc89a202a9,1.0,A,"{'consistency': 1.0, 'realized_quality': 1.0, 'recency': 1.0, 'category_strength': 1.0, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0x476949cbf7a3b67fc01783ac6077c79293c96dd9,1.0,A,"{'consistency': 1.0, 'realized_quality': 1.0, 'recency': 1.0, 'category_strength': 1.0, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0xf08b454963c30e0ae3f5b2e6d4454cf8e41e3ae3,0.9636,A,"{'consistency': 1.0, 'realized_quality': 1.0, 'recency': 0.84, 'category_strength': 0.9, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0x98d87aea4554ac01a5bf9586399aa8af465b5853,0.9459,A,"{'consistency': 1.0, 'realized_quality': 0.8, 'recency': 0.8989, 'category_strength': 1.0, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0xb7952d30345166b277ad8494441246e3511c758b,0.9349,A,"{'consistency': 1.0, 'realized_quality': 0.6743, 'recency': 1.0, 'category_strength': 1.0, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0xef7c20defbda583c2a24c00e9c398ddd688508ba,0.92,A,"{'consistency': 1.0, 'realized_quality': 0.6, 'recency': 1.0, 'category_strength': 1.0, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0xa52953b86f33bdd221022f7249aaf4176545e5aa,0.9158,A,"{'consistency': 1.0, 'realized_quality': 0.5788, 'recency': 1.0, 'category_strength': 1.0, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0x2f26846f1efbce8d12c1ca8484ae76ed89a5920b,0.8934,A,"{'consistency': 1.0, 'realized_quality': 0.4672, 'recency': 1.0, 'category_strength': 1.0, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0xd555e1a87d43f39ef5bdcc2c3599e4046ff1e788,0.8927,A,"{'consistency': 1.0, 'realized_quality': 1.0, 'recency': 1.0, 'category_strength': 0.2333, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0xc8942e294e44a40b901c3449eac24d789f2baaeb,0.88,A,"{'consistency': 1.0, 'realized_quality': 0.4, 'recency': 1.0, 'category_strength': 1.0, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0xbca28b2cf3e424fabbd1751cc241b0a72cf96067,0.8552,A,"{'consistency': 1.0, 'realized_quality': 0.5388, 'recency': 0.6243, 'category_strength': 1.0, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0xd4d933eb013e9419a5c1e56b068a1885444a4e89,0.8149,A,"{'consistency': 0.76, 'realized_quality': 0.6419, 'recency': 1.0, 'category_strength': 0.5667, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
0x5dd00a63698f2611e0ed3135ac87652f38526258,0.795,A,"{'consistency': 1.0, 'realized_quality': 1.0, 'recency': 1.0, 'category_strength': 0.25, 'liquidity_adjusted': 1.0, 'followability': 1.0, 'stability_modifier': 0}","{'concentration': 0.1, 'stale': 0, 'noise': 0}"
0xa5e3044fd953605f9407d58c76e48fd75a394d7e,0.7571,A,"{'consistency': 1.0, 'realized_quality': 1.0, 'recency': 1.0, 'category_strength': 0.5833, 'liquidity_adjusted': 0.3163, 'followability': 0.453, 'stability_modifier': 0}","{'concentration': 0, 'stale': 0, 'noise': 0}"
